挨	ái	ทนทุกข์
行列	háng liè	อันดับ
毫米	háo mǐ	มม
毫无	háo wú	ไม่มีอะไร
豪迈	háo mài	กล้าหาญ
号召	hào zhào	โทร
耗费	hào fèi	ค่าใช้จ่าย
呵	hē	อา
合并	hé bìng	ผสาน
合成	hé chéng	สังเคราะห์
合伙	hé huǒ	ห้างหุ้นส่วน
合算	hé suàn	คุ้มค่า
和蔼	hé ǎi	ชนิด
和解	hé jiě	การคืนดี
和睦	hé mù	ความสามัคคี
和气	hé qi	ความกรุณา
和谐	hé xié	กลมกลืน
嘿	hēi	เฮ้
痕迹	hén jì	ติดตาม
狠心	hěn xīn	ใจร้าย
恨不得	hèn bu dé	รอไม่ไหวแล้ว
哼	hēng	ฮึ
横	héng	แนวนอน
哄	hōng	เล้าโลม
烘	hōng	อบ
轰动	hōng dòng	ความรู้สึก
宏观	hóng guān	มาโคร
宏伟	hóng wěi	งดงาม
洪水	hóng shuǐ	น้ำท่วม
喉咙	hóu lóng	ลำคอ
吼	hǒu	คำราม
候选	hòu xuǎn	ผู้สมัคร
后代	hòu dài	ลูกหลาน
后顾之忧	hòu gù zhī yōu	ความกังวล
后勤	hòu qín	โลจิสติกส์
呼唤	hū huàn	โทร
呼啸	hū xiào	หอน
呼吁	hū yù	โทร
忽略	hū lvè	เพิกเฉย
湖泊	hú pō	ทะเลสาบ
胡乱	hú luàn	ลวก ๆ
胡须	hú xū	เครา
花瓣	huā bàn	กลีบดอก
花蕾	huā lěi	ตา
华丽	huá lì	งดงาม
华侨	huá qiáo	ชาวจีนโพ้นทะเล
划分	huà fēn	หาร
化肥	huà féi	ปุ๋ย
化石	huà shí	ฟอสซิล
化验	huà yàn	การทดสอบ
化妆	huà zhuāng	แต่งหน้า
画蛇添足	huà shé tiān zú	ฟุ่มเฟือย
话筒	huà tǒng	ไมโครโฟน
欢乐	huān lè	ความสุข
环节	huán jié	ลิงค์
还原	huán yuán	ลด
缓和	huǎn hé	ง่าย
患者	huàn zhě	อดทน
荒凉	huāng liáng	รกร้าง
荒谬	huāng miù	ไร้สาระ
荒唐	huāng táng	ไร้สาระ
皇帝	huáng dì	จักรพรรดิ
皇后	huáng hòu	ราชินี
黄昏	huáng hūn	พลบค่ำ
恍然大悟	huǎng rán dà wù	ก็นึกขึ้นได้
晃	huǎng	เขย่า
挥霍	huī huò	splurge
辉煌	huī huáng	ยอดเยี่ยม
回报	huí bào	กลับ
回避	huí bì	หลีกเลี่ยง
回顾	huí gù	ทบทวน
回收	huí shōu	รีไซเคิล
悔恨	huǐ hèn	ความสำนึกผิด
毁灭	huǐ miè	ทำลาย
会晤	huì wù	การประชุม
汇报	huì bào	รายงาน
贿赂	huì lù	สินบน
昏迷	hūn mí	โคม่า
荤	hūn	เนื้อ
浑身	hún shēn	ทั้งหมด
混合	hùn hé	การผสม
混乱	hùn luàn	ความสับสน
混淆	hùn xiáo	สับสน
混浊	hùn zhuó	ขุ่น
活该	huó gāi	สมควรได้รับมัน
活力	huó lì	ความมีชีวิตชีวา
火箭	huǒ jiàn	จรวด
火焰	huǒ yàn	เปลวไฟ
火药	huǒ yào	ดินปืน
货币	huò bì	สกุลเงิน
基地	jī dì	ฐาน
基金	jī jīn	กองทุน
基因	jī yīn	ยีน
机动	jī dòng	การซ้อมรบ
机构	jī gòu	กลไก
机灵	jī ling	ฉลาด
机密	jī mì	เป็นความลับ
机械	jī xiè	เครื่องกล
机遇	jī yù	โอกาส
机智	jī zhì	มีไหวพริบ
激发	jī fā	การกระตุ้น
激励	jī lì	การกระตุ้น
激情	jī qíng	แรงผลักดัน
讥笑	jī xiào	แอบดู
饥饿	jī è	ความหิว
即便	jí biàn	แม้ว่า
即将	jí jiāng	เร็ว ๆ นี้
及早	jí zǎo	ในช่วงต้น
吉祥	jí xiáng	มงคล
嫉妒	jí dù	อิจฉา
急功近利	jí gōng jìn lì	ประสบความสำเร็จอย่างรวดเร็ว
急剧	jí jù	คม
急切	jí qiè	กระตือรือร้น
急于求成	jí yú qiú chéng	กระตือรือร้นที่จะประสบความสำเร็จ
急躁	jí zào	ใจร้อน
极端	jí duān	สุดขีด
极限	jí xiàn	ขีด จำกัด
疾病	jí bìng	โรค
籍贯	jí guàn	บ้านเกิด
级别	jí bié	ระดับ
集团	jí tuán	กลุ่ม
给予	jǐ yǔ	ให้
季军	jì jūn	อันดับที่สาม
季度	jì dù	รายไตรมาส
寂静	jì jìng	ความเงียบ
寄托	jì tuō	มอบความไว้วางใจ
忌讳	jì huì	ข้อห้าม
技巧	jì qiǎo	ทักษะ
纪要	jì yào	สรุป
继承	jì chéng	สืบทอด
计较	jì jiào	ดูแลเกี่ยวกับ
记性	jì xing	หน่วยความจำ
记载	jì zǎi	บันทึก
迹象	jì xiàng	ลงชื่อ
佳肴	jiā yáo	อาหารอันโอชะ
加工	jiā gōng	กำลังประมวลผล
加剧	jiā jù	กระชับ
夹杂	jiā zá	ผสม
家常	jiā cháng	อบอุ่น
家伙	jiā huo	ผู้ชาย
家属	jiā shǔ	สมาชิกในครอบครัว
家喻户晓	jiā yù hù xiǎo	ที่รู้จักกันดี
坚定	jiān dìng	บริษัท
坚固	jiān gù	บริษัท
坚韧	jiān rèn	ยาก
坚实	jiān shí	ของแข็ง
坚硬	jiān yìng	ยาก
尖端	jiān duān	เคล็ดลับ
尖锐	jiān ruì	คม
煎	jiān	ทอด
监督	jiān dū	กำกับดูแล
监视	jiān shì	ตรวจสอบ
监狱	jiān yù	คุก
艰难	jiān nán	ยาก
剪彩	jiǎn cǎi	ตัดริบบิ้น
拣	jiǎn	เลือก
检讨	jiǎn tǎo	ทบทวน
检验	jiǎn yàn	ทดสอบ
简化	jiǎn huà	ทำให้ง่ายขึ้น
简陋	jiǎn lòu	ดิบ
简体字	jiǎn tǐ zì	ภาษาจีนตัวย่อ
简要	jiǎn yào	สั้น ๆ
健全	jiàn quán	เสียง
剑	jiàn	ดาบ
溅	jiàn	สาด
舰艇	jiàn tǐng	เรือ
见多识广	jiàn duō shí guǎng	มีความรู้
见解	jiàn jiě	ความคิดเห็น
见闻	jiàn wén	ความรู้
见义勇为	jiàn yì yǒng wéi	ปรับ
践踏	jiàn tà	เหยียบย่ำ
鉴别	jiàn bié	แยกแยะ
鉴定	jiàn dìng	การระบุ
鉴于	jiàn yú	ให้
间谍	jiàn dié	สอดแนม
间隔	jiàn gé	ช่วงเวลา
间接	jiàn jiē	ทางอ้อม
僵硬	jiāng yìng	แข็ง
将军	jiāng jūn	ทั่วไป
将近	jiāng jìn	เกือบ
将就	jiāng jiù	จะ
奖励	jiǎng lì	รางวัล
奖赏	jiǎng shǎng	รางวัล
桨	jiǎng	พายเรือ
降临	jiàng lín	มา
交叉	jiāo chā	ข้าม
交代	jiāo dài	อธิบาย
交涉	jiāo shè	การเจรจาต่อรอง
交易	jiāo yì	ธุรกรรม
娇气	jiāo qì	ขี้เหล้า
焦点	jiāo diǎn	โฟกัส
焦急	jiāo jí	วิตกกังวล
侥幸	jiǎo xìng	โชคดี
搅拌	jiǎo bàn	กวน
缴纳	jiǎo nà	จ่าย
角落	jiǎo luò	มุม
教养	jiào yǎng	การศึกษา
较量	jiào liàng	การประกวด
接连	jiē lián	ไปรับ
揭露	jiē lù	เปิดเผย
皆	jiē	ทั้งหมด
阶层	jiē céng	คลาส
截止	jié zhǐ	ตัดออก
截至	jié zhì	ณ
杰出	jié chū	โดดเด่น
竭尽全力	jié jìn quán lì	ทำให้ดีที่สุด
结晶	jié jīng	การตกผลึก
结局	jié jú	สิ้นสุด
结算	jié suàn	การตั้งถิ่นฐาน
节制	jié zhì	ควบคุม
节奏	jié zòu	จังหวะ
解除	jiě chú	ยก
解放	jiě fàng	การปลดปล่อย
解雇	jiě gù	การเลิกจ้าง
解剖	jiě pōu	กายวิภาคศาสตร์
解散	jiě sàn	ยกเลิก
解体	jiě tǐ	การสลายตัว
借鉴	jiè jiàn	ยืม
借助	jiè zhù	ด้วยความช่วยเหลือของ
戒备	jiè bèi	แจ้งเตือน
界限	jiè xiàn	ขีด จำกัด
津津有味	jīn jīn yǒu wèi	ด้วยความเพลิดเพลิน
金融	jīn róng	การเงิน
紧迫	jǐn pò	เร่งด่วน
锦上添花	jǐn shàng tiān huā	น้ำตาลไอซิ่งบนเค้ก
晋升	jìn shēng	โปรโมชั่น
浸泡	jìn pào	แช่
近来	jìn lái	เมื่อเร็ว ๆ นี้
进而	jìn ér	แล้ว
进攻	jìn gōng	โจมตี
进化	jìn huà	วิวัฒนาการ
进展	jìn zhǎn	ความคืบหน้า
兢兢业业	jīng jīng yè yè	เป็นเรื่องเป็นราว
惊动	jīng dòng	รบกวน
惊奇	jīng qí	เซอร์ไพรส์
惊讶	jīng yà	แปลกใจ
精打细算	jīng dǎ xì suàn	วางแผนอย่างรอบคอบ
精华	jīng huá	แก่นแท้
精简	jīng jiǎn	ปรับปรุง
精密	jīng mì	ความแม่นยำ
精确	jīng què	ถูกต้อง
精通	jīng tōng	เชี่ยวชาญ
精心	jīng xīn	ประณีต
精益求精	jīng yì qiú jīng	ปรับปรุงต่อไป
精致	jīng zhì	ประณีต
经费	jīng fèi	เงินทุน
经纬	jīng wěi	ละติจูดและลองจิจูด
茎	jīng	ลำต้น
井	jǐng	ดี
警告	jǐng gào	ข้อแม้
警惕	jǐng tì	แจ้งเตือน
颈椎	jǐng zhuī	กระดูกสันหลังคด
境界	jìng jiè	ดินแดน
敬礼	jìng lǐ	คารวะ
敬业	jìng yè	ทุ่มเท
竞赛	jìng sài	การแข่งขัน
竞选	jìng xuǎn	แคมเปญ
镜头	jìng tóu	เลนส์
纠纷	jiū fēn	ข้อพิพาท
纠正	jiū zhèng	แก้ไข
酒精	jiǔ jīng	แอลกอฮอล์
就近	jiù jìn	ใกล้เคียง
就业	jiù yè	การจ้างงาน
就职	jiù zhí	การเริ่มต้น
救济	jiù jì	โล่งอก
居民	jū mín	ผู้อยู่อาศัย
居住	jū zhù	มีชีวิต
拘留	jū liú	การกักขัง
拘束	jū shù	ความยับยั้งชั่งใจ
鞠躬	jū gōng	คันธนู
局部	jú bù	บางส่วน
局面	jú miàn	สถานการณ์
局势	jú shì	สถานการณ์
局限	jú xiàn	ข้อ จำกัด
举动	jǔ dòng	ย้าย
举世瞩目	jǔ shì zhǔ mù	ดึงดูดความสนใจจากทั่วโลก
举足轻重	jǔ zú qīng zhòng	pivotal
咀嚼	jǔ jué	เคี้ยว
沮丧	jǔ sàng	ผิดหวัง
剧本	jù běn	สคริปต์
剧烈	jù liè	รุนแรง
据悉	jù xī	มีรายงานว่า
聚精会神	jù jīng huì shén	มีสมาธิ
卷	juǎn	ปริมาณ
倔强	jué jiàng	ปากแข็ง
决策	jué cè	การตัดสินใจ
绝望	jué wàng	สิ้นหวัง
觉悟	jué wù	สติ
觉醒	jué xǐng	ตื่น
军队	jūn duì	กองทัพ
君子	jūn zǐ	สุภาพบุรุษ
卡通	kǎ tōng	การ์ตูน
开采	kāi cǎi	การขุด
开除	kāi chú	ถูกไล่ออก
开阔	kāi kuò	เปิด
开朗	kāi lǎng	ร่าเริง
开明	kāi míng	รู้แจ้ง
开辟	kāi pì	เปิดออก
开拓	kāi tuò	เปิดออก
开展	kāi zhǎn	พัฒนา
开支	kāi zhī	รายจ่าย
刊登	kān dēng	เผยแพร่
刊物	kān wù	สิ่งพิมพ์
勘探	kān tàn	การสำรวจ
侃侃而谈	kǎn kǎn ér tán	พูดคุยได้อย่างอิสระ
砍伐	kǎn fá	การโค่น
看待	kàn dài	ดูที่
慷慨	kāng kǎi	ใจกว้าง
抗议	kàng yì	ประท้วง
考察	kǎo chá	สำรวจ
考古	kǎo gǔ	โบราณคดี
考核	kǎo hé	การประเมิน
考验	kǎo yàn	ทดสอบ
靠拢	kào lǒng	ขยับเข้าไปใกล้
磕	kē	เคาะ
科目	kē mù	เรื่อง
可观	kě guān	มาก
可口	kě kǒu	อร่อย
可恶	kě wù	เกลียดชัง
可行	kě xíng	เป็นไปได้
渴望	kě wàng	ความต้องการ
克制	kè zhì	ความยับยั้งชั่งใจ
刻不容缓	kè bù róng huǎn	ไม่มีเวลาให้ล่าช้า
客户	kè hù	ลูกค้า
课题	kè tí	เรื่อง
啃	kěn	กัด
恳切	kěn qiè	จริงใจ
坑	kēng	หลุม
空洞	kōng dòng	กลวง
空前绝后	kōng qián jué hòu	ไม่เคยมีมาก่อน
空想	kōng xiǎng	แฟนตาซี
空虚	kōng xū	ความว่างเปล่า
孔	kǒng	หลุม
恐怖	kǒng bù	ความหวาดกลัว
恐吓	kǒng hè	ข่มขู่
恐惧	kǒng jù	กลัว
空白	kòng bái	ว่างเปล่า
空隙	kòng xì	ช่องว่าง
口气	kǒu qì	โทน
口腔	kǒu qiāng	ช่องปาก
口头	kǒu tóu	ปากเปล่า
口音	kǒu yīn	สำเนียง
扣	kòu	หัวเข็มขัด
哭泣	kū qì	ร้องไห้
枯萎	kū wěi	ลีบ
枯燥	kū zào	น่าเบื่อ
苦尽甘来	kǔ jìn gān lái	ความขมขื่น
苦涩	kǔ sè	ขม
挎	kuà	พก
跨	kuà	ช่วง
快活	kuài huo	มีความสุข
宽敞	kuān chang	กว้างขวาง
宽容	kuān róng	ใจกว้าง
款待	kuǎn dài	การต้อนรับ
款式	kuǎn shì	สไตล์
筐	kuāng	ตะกร้า
况且	kuàng qiě	นอกจากนี้
旷课	kuàng kè	การขาดงาน
框架	kuàng jià	กรอบ
矿产	kuàng chǎn	แร่
亏待	kuī dài	ปฏิบัติไม่ดี
亏损	kuī sǔn	การสูญเสีย
捆绑	kǔn bǎng	ผูกขึ้น
扩充	kuò chōng	การขยาย
扩散	kuò sàn	การแพร่กระจาย
扩张	kuò zhāng	การขยาย
啦	lā	ลา
喇叭	lǎ ba	ลำโพง
蜡烛	là zhú	เทียน
来历	lái lì	ต้นกำเนิด
来源	lái yuán	แหล่งที่มา
栏目	lán mù	คอลัมน์
懒惰	lǎn duò	ขี้เกียจ
狼狈	láng bèi	อาย
狼吞虎咽	láng tūn hǔ yàn	หมาป่า
捞	lāo	ปลา
唠叨	láo dao	จู้จี้
牢固	láo gù	บริษัท
牢骚	láo sāo	บ่น
乐趣	lè qù	ความสุข
乐意	lè yì	เต็มใจ
雷达	léi dá	เรดาร์
类似	lèi sì	คล้ายกัน
冷酷	lěng kù	โหดร้าย
冷落	lěng luò	ออกไป
冷却	lěng què	เย็นลง
愣	lèng	แช่แข็ง
黎明	lí míng	รุ่งอรุณ
理睬	lǐ cǎi	ให้ความสนใจกับ
理所当然	lǐ suǒ dāng rán	แน่นอน
理直气壮	lǐ zhí qì zhuàng	ตรงไปตรงมา
理智	lǐ zhì	เหตุผล
礼节	lǐ jié	มารยาท
礼尚往来	lǐ shàng wǎng lái	ซึ่งกันและกัน
里程碑	lǐ chéng bēi	เหตุการณ์สำคัญ
例外	lì wài	ข้อยกเว้น
利害	lì hài	เงินเดิมพัน
力求	lì qiú	มุ่งมั่นที่จะ
力所能及	lì suǒ néng jí	ภายในอำนาจของเรา
力争	lì zhēng	มุ่งมั่น
历代	lì dài	ประวัติศาสตร์
历来	lì lái	เสมอ
立场	lì chǎng	ตำแหน่ง
立方	lì fāng	ลูกบาศก์
立交桥	lì jiāo qiáo	สะพานลอย
立体	lì tǐ	สามมิติ
立足	lì zú	ยืนอยู่บน
粒	lì	เมล็ดข้าว
廉洁	lián jié	ทำความสะอาด
联欢	lián huān	เข้ากัน
联络	lián luò	การเชื่อมต่อ
联盟	lián méng	พันธมิตร
联想	lián xiǎng	เลอโนโว
连年	lián nián	ปีแล้วปีเล่า
连锁	lián suǒ	เชื่อมต่อ
连同	lián tóng	ร่วมกับ
良心	liáng xīn	มโนธรรม
晾	liàng	อากาศ
谅解	liàng jiě	ความเข้าใจ
辽阔	liáo kuò	กว้างใหญ่
列举	liè jǔ	แจกแจง
临床	lín chuáng	ทางคลินิก
淋	lín	ฝักบัว
吝啬	lìn sè	ตระหนี่
伶俐	líng lì	ฉลาด
凌晨	líng chén	เช้าตรู่
灵感	líng gǎn	แรงบันดาลใจ
灵魂	líng hún	วิญญาณ
灵敏	líng mǐn	อ่อนไหว
零星	líng xīng	ประปราย
领会	lǐng huì	เข้าใจ
领事馆	lǐng shì guǎn	สถานกงสุล
领土	lǐng tǔ	อาณาเขต
领悟	lǐng wù	เข้าใจ
领先	lǐng xiān	ตะกั่ว
领袖	lǐng xiù	หัวหน้า
溜	liū	สลิป
流浪	liú làng	หลง
流露	liú lù	เปิดเผย
流氓	liú máng	โกง
流通	liú tōng	การไหลเวียน
留恋	liú liàn	ความคิดถึง
留念	liú niàn	ของที่ระลึก
留神	liú shén	ระวัง
聋哑	lóng yǎ	หูหนวกและเป็นใบ้
隆重	lóng zhòng	แกรนด์
垄断	lǒng duàn	การผูกขาด
笼罩	lǒng zhào	ห่อหุ้ม
搂	lǒu	กอด
炉灶	lú zào	เตา
轮船	lún chuán	เรือกลไฟ
轮廓	lún kuò	รูปร่าง
轮胎	lún tāi	ยางรถยนต์
论坛	lùn tán	ฟอรัม
论证	lùn zhèng	ข้อโต้แย้ง
啰唆	luō suo	น่ารำคาญ
络绎不绝	luò yì bù jué	สตรีมที่ไม่มีที่สิ้นสุด
落成	luò chéng	เสร็จเรียบร้อย
落实	luò shí	ใช้
屡次	lv3 cì	ซ้ำ ๆ
履行	lv3 xíng	เติมเต็ม
掠夺	lvè duó	ปล้น
嘛	ma	ดี
麻痹	má bì	อัมพาต
麻木	má mù	ชา
麻醉	má zuì	การระงับความรู้สึก
码头	mǎ tóu	ท่าเรือ
蚂蚁	mǎ yǐ	มด
埋伏	mái fú	ซุ่มโจมตี
埋没	mái mò	ฝัง
埋葬	mái zàng	ฝัง
脉搏	mài bó	ชีพจร
迈	mài	ขั้นตอน
埋怨	mán yuàn	บ่น
慢性	màn xìng	เรื้อรัง
漫长	màn cháng	ยาว
漫画	màn huà	การ์ตูน
蔓延	màn yán	การแพร่กระจาย
忙碌	máng lù	ไม่ว่าง
盲目	máng mù	สุ่มสี่สุ่มห้า
茫茫	máng máng	กว้างใหญ่
茫然	máng rán	ที่สูญเสีย
冒充	mào chōng	แอบอ้าง
冒犯	mào fàn	รุกราน
茂盛	mào shèng	เจริญรุ่งเรือง
媒介	méi jiè	ปานกลาง
枚	méi	ชิ้น
美观	měi guān	สวย
美满	měi mǎn	มีความสุข
美妙	měi miào	วิเศษมาก
萌芽	méng yá	ตา
猛烈	měng liè	รุนแรง
眯	mī	เหล่
弥补	mí bǔ	แต่งหน้า
弥漫	mí màn	กระจาย
谜语	mí yǔ	ปริศนา
迷惑	mí huo	สับสน
迷人	mí rén	มีเสน่ห์
迷信	mí xìn	ไสยศาสตร์
密度	mì dù	ความหนาแน่น
密封	mì fēng	ซีล
棉花	mián hua	ผ้าฝ้าย
免得	miǎn de	เกรงว่า
免疫	miǎn yì	ภูมิคุ้มกัน
勉励	miǎn lì	ให้กำลังใจ
勉强	miǎn qiǎng	อย่างไม่เต็มใจ
面貌	miàn mào	ใบหน้า
面子	miàn zi	ใบหน้า
描绘	miáo huì	พรรณนา
瞄准	miáo zhǔn	จุดมุ่งหมาย
渺小	miǎo xiǎo	เล็ก
藐视	miǎo shì	ดูหมิ่น
灭亡	miè wáng	พินาศ
蔑视	miè shì	ดูถูก
民间	mín jiān	พื้นบ้าน
民主	mín zhǔ	ประชาธิปไตย
敏捷	mǐn jié	ว่องไว
敏锐	mǐn ruì	กระตือรือร้น
名次	míng cì	การจัดอันดับ
名额	míng é	โควต้า
名副其实	míng fù qí shí	สมควรแก่ชื่อ
名誉	míng yù	ชื่อเสียง
明明	míng míng	เห็นได้ชัด
明智	míng zhì	ฉลาด
命名	mìng míng	ชื่อ
摸索	mō suo	คล้า
摩擦	mó cā	แรงเสียดทาน
模范	mó fàn	แบบ
模式	mó shì	โหมด
模型	mó xíng	แบบ
磨合	mó hé	เรียกใช้
膜	mó	เมมเบรน
魔鬼	mó guǐ	ปีศาจ
魔术	mó shù	มายากล
抹杀	mǒ shā	ลบล้าง
墨水儿	mò shuǐ r	หมึก
莫名其妙	mò míng qí miào	งุนงง
默默	mò mò	เงียบ
谋求	móu qiú	แสวงหา
模样	mú yàng	ลักษณะ
母语	mǔ yǔ	ภาษาหลัก
沐浴	mù yù	อาบน้ำ
目睹	mù dǔ	พยาน
目光	mù guāng	ดู
拿手	ná shǒu	ดี
纳闷儿	nà mèn r	สงสัย
耐用	nài yòng	ทนทาน
南辕北辙	nán yuán běi zhé	แตกต่างกัน
难得	nán dé	หายาก
难堪	nán kān	อาย
难能可贵	nán néng kě guì	น่ายกย่อง
恼火	nǎo huǒ	รำคาญ
内涵	nèi hán	ความหมาย
内幕	nèi mù	เรื่องราวภายใน
内在	nèi zài	ด้านใน
能量	néng liàng	พลังงาน
拟定	nǐ dìng	วาดขึ้น
逆行	nì xíng	ถอยหลังเข้าคลอง
年度	nián dù	ปี
捏	niē	หยิก
凝固	níng gù	การแข็งตัว
凝聚	níng jù	การติดต่อกัน
凝视	níng shì	จ้องมอง
拧	níng	สกรู
宁肯	nìng kěn	ค่อนข้าง
宁愿	nìng yuàn	ค่อนข้างจะ
扭转	niǔ zhuǎn	บิด
纽扣儿	niǔ kòu r	ปุ่มต่างๆ
农历	nóng lì	ปฏิทินจันทรคติ
浓厚	nóng hòu	แข็งแรง
奴隶	nú lì	ทาส
挪	nuó	ย้าย
虐待	nvè dài	การละเมิด
哦	ò	โอ้
殴打	ōu dǎ	ตี
偶像	ǒu xiàng	ไอดอล
呕吐	ǒu tù	อาเจียน
趴	pā	โกหก
徘徊	pái huái	หลง
排斥	pái chì	ขับไล่
排除	pái chú	ไม่รวม
排放	pái fàng	การปล่อยมลพิษ
排练	pái liàn	ซ้อม
派别	pài bié	ฝ่าย
派遣	pài qiǎn	ส่ง
攀登	pān dēng	ปีน
盘旋	pán xuán	วน
判决	pàn jué	วิจารณญาณ
畔	pàn	ธนาคาร
庞大	páng dà	ใหญ่โต
抛弃	pāo qì	ละทิ้ง
泡沫	pào mò	โฟม
培育	péi yù	บำรุง
配备	pèi bèi	พร้อม
配偶	pèi ǒu	คู่สมรส
配套	pèi tào	การจับคู่
盆地	pén dì	อ่างล้างหน้า
烹饪	pēng rèn	การทำอาหาร
捧	pěng	ถือ
劈	pī	สับ
批发	pī fā	ขายส่ง
批判	pī pàn	วิจารณ์
疲惫	pí bèi	เหนื่อย
疲倦	pí juàn	เหนื่อย
皮革	pí gé	หนัง
屁股	pì gu	ก้น
譬如	pì rú	ตัวอย่างเช่น
偏差	piān chā	การเบี่ยงเบน
偏见	piān jiàn	อคติ
偏僻	piān pì	ระยะไกล
偏偏	piān piān	ในทางตรงกันข้าม
片断	piàn duàn	ส่วนย่อย
片刻	piàn kè	ช่วงเวลา
漂浮	piāo fú	ลอย
飘扬	piāo yáng	กระพือปีก
撇	piē	สกิมมิ่ง
拼搏	pīn bó	การทำงานอย่างหนัก
拼命	pīn mìng	หมดหวัง
贫乏	pín fá	น่าสงสาร
贫困	pín kùn	น่าสงสาร
频繁	pín fán	บ่อยครั้ง
频率	pín lv4	ความถี่
品尝	pǐn cháng	ลิ้มรส
品德	pǐn dé	ตัวละคร
品质	pǐn zhì	คุณภาพ
品种	pǐn zhǒng	ความหลากหลาย
屏幕	píng mù	หน้าจอ
屏障	píng zhàng	อุปสรรค
平凡	píng fán	สามัญ
平面	píng miàn	แบน
平坦	píng tǎn	แบน
平行	píng xíng	ขนาน
平庸	píng yōng	ปานกลาง
平原	píng yuán	ธรรมดา
评估	píng gū	การประเมินผล
评论	píng lùn	แสดงความคิดเห็น
坡	pō	ความลาดชัน
泼	pō	สาด
颇	pō	ค่อนข้าง
破例	pò lì	ให้ข้อยกเว้น
迫不及待	pò bù jí dài	รอไม่ไหวแล้ว
迫害	pò hài	การข่มเหง
魄力	pò lì	ความกล้าหาญ
扑	pū	กระพือ
铺	pū	ร้านค้า
普及	pǔ jí	สากล
朴实	pǔ shí	เรียบง่าย
朴素	pǔ sù	เรียบง่าย
瀑布	pù bù	น้ำตก
凄凉	qī liáng	รกร้าง
期望	qī wàng	คาดหวัง
期限	qī xiàn	ระยะ
欺负	qī fu	คนพาล
欺骗	qī piàn	หลอกลวง
奇妙	qí miào	วิเศษมาก
旗袍	qí páo	cheongsam
旗帜	qí zhì	แบนเนอร์
歧视	qí shì	การเลือกปฏิบัติ
齐全	qí quán	เสร็จสมบูรณ์
齐心协力	qí xīn xié lì	ทำงานด้วยกัน
乞丐	qǐ gài	ขอทาน
企图	qǐ tú	พยายาม
启程	qǐ chéng	ออกเดินทาง
启蒙	qǐ méng	การตรัสรู้
启事	qǐ shì	แจ้งให้ทราบล่วงหน้า
启示	qǐ shì	การตรัสรู้
岂有此理	qǐ yǒu cǐ lǐ	ไม่มีเหตุผล
起草	qǐ cǎo	การร่าง
起初	qǐ chū	ในตอนแรก
起伏	qǐ fú	ขึ้นและลง
起哄	qǐ hòng	โห่
起码	qǐ mǎ	อย่างน้อย
起源	qǐ yuán	ต้นกำเนิด
器材	qì cái	อุปกรณ์
器官	qì guān	อวัยวะ
气概	qì gài	วิญญาณ
气功	qì gōng	ชี่กง
气魄	qì pò	ตัวหนา
气色	qì sè	ผิว
气势	qì shì	โมเมนตัม
气味	qì wèi	กลิ่น
气象	qì xiàng	อุตุนิยมวิทยา
气压	qì yā	ความดันอากาศ
气质	qì zhí	อารมณ์
迄今为止	qì jīn wéi zhǐ	จนถึงตอนนี้
掐	qiā	หยิก
恰当	qià dàng	เหมาะสม
恰到好处	qià dào hǎo chù	ถูกต้อง
恰巧	qià qiǎo	บังเอิญ
洽谈	qià tán	ต่อรองจัดการ
千方百计	qiān fāng bǎi jì	ทำทุกวิถีทาง
牵	qiān	ตะกั่ว
牵扯	qiān chě	เกี่ยวข้อง
牵制	qiān zhì	มี
签署	qiān shǔ	ลงชื่อ
谦逊	qiān xùn	ถ่อมตัว
迁就	qiān jiù	รองรับ
迁徙	qiān xǐ	การโยกย้าย
前景	qián jǐng	โอกาส
前提	qián tí	หลักฐาน
潜力	qián lì	ศักยภาพ
潜水	qián shuǐ	ดำน้ำ
潜移默化	qián yí mò huà	มองไม่เห็น
谴责	qiǎn zé	ประณาม
抢劫	qiāng jié	การปล้น
强制	qiáng zhì	บังคับ
强迫	qiǎng pò	บังคับ
抢救	qiǎng jiù	กู้ภัย
桥梁	qiáo liáng	สะพาน
窍门	qiào mén	เคล็ดลับ
翘	qiào	อลิซ
切实	qiè shí	ในทางปฏิบัติ
锲而不舍	qiè ér bù shě	ความเพียร
亲密	qīn mì	ปิด
亲热	qīn rè	รักใคร่
侵犯	qīn fàn	ละเมิด
侵略	qīn lvè	การรุกราน
钦佩	qīn pèi	ความชื่นชม
勤俭	qín jiǎn	ทำงานหนัก
勤劳	qín láo	ขยัน
倾听	qīng tīng	ฟัง
倾向	qīng xiàng	แนวโน้ม
倾斜	qīng xié	เอียง
清澈	qīng chè	ชัดเจน
清晨	qīng chén	เช้าตรู่
清除	qīng chú	ชัดเจน
清洁	qīng jié	สะอาด
清理	qīng lǐ	ทำความสะอาด
清晰	qīng xī	ชัดเจน
清醒	qīng xǐng	กว้างตื่น
清真	qīng zhēn	มุสลิม
情报	qíng bào	สติปัญญา
情节	qíng jié	พล็อต
情理	qíng lǐ	ความรู้สึก
情形	qíng xíng	สถานการณ์
晴朗	qíng lǎng	แดดจัด
请柬	qǐng jiǎn	คำเชิญ
请教	qǐng jiào	ปรึกษา
请示	qǐng shì	ขอคำแนะนำ
请帖	qǐng tiě	คำเชิญ
丘陵	qiū líng	เนินเขา
区分	qū fēn	แยกแยะ
区域	qū yù	พื้นที่
屈服	qū fú	ผลผลิต
曲折	qū zhé	คดเคี้ยว
