挨	ái	يعاني
佳肴	jiā yáo	رقة
加工	jiā gōng	معالجة
加剧	jiā jù	تكثيف
夹杂	jiā zá	تضمين
家常	jiā cháng	عائلي
家伙	jiā huo	شاب
家属	jiā shǔ	أفراد الأسرة
家喻户晓	jiā yù hù xiǎo	معروف
坚定	jiān dìng	حازم
坚固	jiān gù	حازم
坚韧	jiān rèn	صعب
坚实	jiān shí	صلب
坚硬	jiān yìng	الصعب
尖端	jiān duān	تلميح
尖锐	jiān ruì	حاد
煎	jiān	المقلية
监督	jiān dū	الإشراف
监视	jiān shì	مراقب
监狱	jiān yù	السجن
艰难	jiān nán	صعب
剪彩	jiǎn cǎi	قص الشريط
拣	jiǎn	قطف او يقطف
检讨	jiǎn tǎo	مراجعة
检验	jiǎn yàn	اختبار
简化	jiǎn huà	تبسيط
简陋	jiǎn lòu	خام
简体字	jiǎn tǐ zì	الصينية المبسطة
简要	jiǎn yào	نبذة
健全	jiàn quán	صوت
剑	jiàn	سيف
溅	jiàn	دفقة
舰艇	jiàn tǐng	سفينة
见多识广	jiàn duō shí guǎng	واسع الاطلاع
见解	jiàn jiě	رأي
见闻	jiàn wén	المعرفه
见义勇为	jiàn yì yǒng wéi	برر
践踏	jiàn tà	يدوس
鉴别	jiàn bié	تحديد
鉴定	jiàn dìng	هوية
鉴于	jiàn yú	معطى
间谍	jiàn dié	الجاسوس
间隔	jiàn gé	فترة
间接	jiàn jiē	غير مباشر
僵硬	jiāng yìng	قاسية
将军	jiāng jūn	جنرال لواء
将近	jiāng jìn	تقريبا
将就	jiāng jiù	سوف يكون
奖励	jiǎng lì	جائزة او مكافاة
奖赏	jiǎng shǎng	جائزة او مكافاة
桨	jiǎng	مجداف
降临	jiàng lín	تأتي
交叉	jiāo chā	تعبر
交代	jiāo dài	يشرح
交涉	jiāo shè	تفاوض
交易	jiāo yì	عملية تجارية
娇气	jiāo qì	شديد الحساسية
焦点	jiāo diǎn	التركيز
焦急	jiāo jí	قلق
侥幸	jiǎo xìng	سعيد الحظ
搅拌	jiǎo bàn	يقلب
缴纳	jiǎo nà	دفع
角落	jiǎo luò	ركن
教养	jiào yǎng	تربية
较量	jiào liàng	مسابقة
接连	jiē lián	امسك
揭露	jiē lù	تعرض
皆	jiē	الكل
阶层	jiē céng	صف دراسي
截止	jié zhǐ	قطع
截至	jié zhì	اعتبارا من
杰出	jié chū	أمتياز
竭尽全力	jié jìn quán lì	ابذل قصارى جهدك
结晶	jié jīng	بلورة
结局	jié jú	النهاية
结算	jié suàn	مستوطنة
节制	jié zhì	مراقبة
节奏	jié zòu	على نفس المنوال
解除	jiě chú	رفض
解放	jiě fàng	تحرير
解雇	jiě gù	الفصل
解剖	jiě pōu	تشريح
解散	jiě sàn	حل \ سرح
解体	jiě tǐ	تفكك
借鉴	jiè jiàn	اقتراض
借助	jiè zhù	بمساعدة
戒备	jiè bèi	إنذار
界限	jiè xiàn	حد
津津有味	jīn jīn yǒu wèi	مع المذاق
金融	jīn róng	الأمور المالية
紧迫	jǐn pò	العاجلة
锦上添花	jǐn shàng tiān huā	الشربات على الكعكة
晋升	jìn shēng	ترقية وظيفية
浸泡	jìn pào	نقع
近来	jìn lái	مؤخرا
进而	jìn ér	وثم
进攻	jìn gōng	هجوم
进化	jìn huà	تطور
进展	jìn zhǎn	التقدم
兢兢业业	jīng jīng yè yè	منجز وفقا لما يمليه الضمير
惊动	jīng dòng	إزعاج
惊奇	jīng qí	مفاجأة
惊讶	jīng yà	مندهش
精打细算	jīng dǎ xì suàn	خطط بعناية
精华	jīng huá	جوهر
精简	jīng jiǎn	انسيابية
精密	jīng mì	الاحكام
精确	jīng què	دقيق
精通	jīng tōng	بارع
精心	jīng xīn	توضيح
精益求精	jīng yì qiú jīng	استمر في التحسن
精致	jīng zhì	رائع
经费	jīng fèi	التمويل
经纬	jīng wěi	خط العرض وخط الطول
茎	jīng	إيقاف
井	jǐng	حسنا
警告	jǐng gào	مذكرة قانونية
警惕	jǐng tì	إنذار
颈椎	jǐng zhuī	الفقرات العنقية
境界	jìng jiè	مملكة
敬礼	jìng lǐ	التحية
敬业	jìng yè	مخصصة
竞赛	jìng sài	منافسة
竞选	jìng xuǎn	حملة
镜头	jìng tóu	عدسة
纠纷	jiū fēn	خلاف
纠正	jiū zhèng	صيح
酒精	jiǔ jīng	كحول
就近	jiù jìn	مجاور
就业	jiù yè	توظيف
就职	jiù zhí	افتتاح
救济	jiù jì	ارتياح
居民	jū mín	سكان
居住	jū zhù	حي
拘留	jū liú	احتجاز
拘束	jū shù	ضبط النفس
鞠躬	jū gōng	ينحني
局部	jú bù	جزئي
局面	jú miàn	موقف
局势	jú shì	موقف
局限	jú xiàn	محددات
举动	jǔ dòng	نقل
举世瞩目	jǔ shì zhǔ mù	جذب انتباه العالم
举足轻重	jǔ zú qīng zhòng	محوري
咀嚼	jǔ jué	مضغ
沮丧	jǔ sàng	محبط
剧本	jù běn	النصي
剧烈	jù liè	شديدة
据悉	jù xī	يقال أن
聚精会神	jù jīng huì shén	تركيز
卷	juǎn	الصوت
倔强	jué jiàng	عنيد
决策	jué cè	اتخاذ القرار
绝望	jué wàng	اليأس
觉悟	jué wù	وعي - إدراك
觉醒	jué xǐng	الصحوة
军队	jūn duì	جيش
君子	jūn zǐ	انسان محترم
卡通	kǎ tōng	كاريكاتير
开采	kāi cǎi	التعدين
开除	kāi chú	مطرود
开阔	kāi kuò	افتح
开朗	kāi lǎng	مرح
开明	kāi míng	المستنير
开辟	kāi pì	افتح
开拓	kāi tuò	افتح
开展	kāi zhǎn	طور
开支	kāi zhī	المصروفات
刊登	kān dēng	ينشر
刊物	kān wù	النشر
勘探	kān tàn	استكشاف
侃侃而谈	kǎn kǎn ér tán	تحدث بحرية
砍伐	kǎn fá	قطع
看待	kàn dài	ينظر الى
慷慨	kāng kǎi	كريم - سخي
抗议	kàng yì	وقفة احتجاجية
考察	kǎo chá	الدراسة الاستقصائية
考古	kǎo gǔ	علم الآثار
考核	kǎo hé	تقدير
考验	kǎo yàn	اختبار
靠拢	kào lǒng	اقترب أكثر
磕	kē	طرق
科目	kē mù	موضوع
可观	kě guān	ضخم
可口	kě kǒu	طيب المذاق
可恶	kě wù	مكروه
可行	kě xíng	قابليه
渴望	kě wàng	رغبة
克制	kè zhì	ضبط النفس
刻不容缓	kè bù róng huǎn	لا وقت للتأخير
客户	kè hù	عميل
课题	kè tí	موضوع
啃	kěn	عضة
恳切	kěn qiè	صادق
坑	kēng	حفرة
空洞	kōng dòng	أجوف
空前绝后	kōng qián jué hòu	غير مسبوق
空想	kōng xiǎng	خيال
空虚	kōng xū	الفراغ
孔	kǒng	الفجوة
恐怖	kǒng bù	الرعب
恐吓	kǒng hè	تخويف
恐惧	kǒng jù	الخوف
空白	kòng bái	فارغة
空隙	kòng xì	الفارق
口气	kǒu qì	نغمة، رنه
口腔	kǒu qiāng	تجويف الفم
口头	kǒu tóu	عن طريق الفم
口音	kǒu yīn	لهجة
扣	kòu	انبعاج
哭泣	kū qì	يبكي
枯萎	kū wěi	ذابل
枯燥	kū zào	ممل
苦尽甘来	kǔ jìn gān lái	مرارة
苦涩	kǔ sè	مرارة - مر
挎	kuà	احمل
跨	kuà	امتداد
快活	kuài huo	سعيدة
宽敞	kuān chang	فسيحة
宽容	kuān róng	متسامح
款待	kuǎn dài	حسن الضيافة
款式	kuǎn shì	أسلوب
筐	kuāng	سلة
况且	kuàng qiě	الى جانب
旷课	kuàng kè	الغياب
框架	kuàng jià	الإطار
矿产	kuàng chǎn	المعدنية
亏待	kuī dài	يعامل بشكل سيئ
亏损	kuī sǔn	خسارة
捆绑	kǔn bǎng	مقيد
扩充	kuò chōng	توسيع
扩散	kuò sàn	تعريف
扩张	kuò zhāng	توسيع
啦	lā	لا
喇叭	lǎ ba	مكبر الصوت
蜡烛	là zhú	شمعة
来历	lái lì	الأصل
来源	lái yuán	مصدر
栏目	lán mù	عمود
懒惰	lǎn duò	كسول
狼狈	láng bèi	أحرجت
狼吞虎咽	láng tūn hǔ yàn	ذئب
捞	lāo	سمك
唠叨	láo dao	المزعجة
牢固	láo gù	حازم
牢骚	láo sāo	تذمر
乐趣	lè qù	بكل سرور
乐意	lè yì	راغب
雷达	léi dá	رادار
类似	lèi sì	مماثل
冷酷	lěng kù	قاسي
冷落	lěng luò	خرج
冷却	lěng què	ترطيب
愣	lèng	تجمد
黎明	lí míng	فجر
理睬	lǐ cǎi	انتبه على
理所当然	lǐ suǒ dāng rán	بالطبع بكل تأكيد
理直气壮	lǐ zhí qì zhuàng	مباشرة
理智	lǐ zhì	السبب
礼节	lǐ jié	آداب
礼尚往来	lǐ shàng wǎng lái	تبادل
里程碑	lǐ chéng bēi	معلما
例外	lì wài	استثناء
利害	lì hài	حصة
力求	lì qiú	يحاول جاهدا ل
力所能及	lì suǒ néng jí	في حدود قوتنا
力争	lì zhēng	السعي
历代	lì dài	التاريخ
历来	lì lái	دائما
立场	lì chǎng	موضع
立方	lì fāng	مكعب
立交桥	lì jiāo qiáo	ممر علوي
立体	lì tǐ	ثلاثي الأبعاد
立足	lì zú	قف
粒	lì	الحبوب
廉洁	lián jié	نظيف
联欢	lián huān	نلتقي
联络	lián luò	الإتصال
联盟	lián méng	تحالف
联想	lián xiǎng	لينوفو
连年	lián nián	سنه بعد سنه
连锁	lián suǒ	سلسلة
连同	lián tóng	معا مع
良心	liáng xīn	الضمير
晾	liàng	الهواء
谅解	liàng jiě	فهم
辽阔	liáo kuò	واسع
列举	liè jǔ	عد
临床	lín chuáng	مرضي
淋	lín	دش
吝啬	lìn sè	بخيل
伶俐	líng lì	ذكي
凌晨	líng chén	الصباح الباكر
灵感	líng gǎn	وحي - الهام
灵魂	líng hún	الروح
灵敏	líng mǐn	حساس
零星	líng xīng	متقطع
领会	lǐng huì	تفهم
领事馆	lǐng shì guǎn	قنصلية
领土	lǐng tǔ	منطقة
领悟	lǐng wù	فهم
领先	lǐng xiān	قيادة
领袖	lǐng xiù	زعيم
溜	liū	زلة
流浪	liú làng	تجول
流露	liú lù	كشف
流氓	liú máng	محتال
流通	liú tōng	الدوران
留恋	liú liàn	حنين
留念	liú niàn	تذكار
留神	liú shén	احذر
聋哑	lóng yǎ	أصم وغبي
隆重	lóng zhòng	كبير
垄断	lǒng duàn	احتكار
笼罩	lǒng zhào	يكتنفه
搂	lǒu	عناق
炉灶	lú zào	موقد
轮船	lún chuán	باخرة
轮廓	lún kuò	محيط شكل
轮胎	lún tāi	الإطارات
论坛	lùn tán	المنتدى
论证	lùn zhèng	جدال
啰唆	luō suo	مزعج
络绎不绝	luò yì bù jué	مجرى بلانهاية
落成	luò chéng	منجز
落实	luò shí	تنفيذ
屡次	lv3 cì	مرارا وتكرارا
履行	lv3 xíng	تحقيق
掠夺	lvè duó	نهب
嘛	ma	حسنا
麻痹	má bì	شلل
麻木	má mù	خدر
麻醉	má zuì	تخدير
码头	mǎ tóu	رصيف بحري
蚂蚁	mǎ yǐ	نملة
埋伏	mái fú	كمين
埋没	mái mò	مدفون
埋葬	mái zàng	دفن
脉搏	mài bó	نبض
迈	mài	خطوة
埋怨	mán yuàn	تذمر
慢性	màn xìng	مزمن
漫长	màn cháng	طويل
漫画	màn huà	كاريكاتير
蔓延	màn yán	الانتشار
忙碌	máng lù	مشغول
盲目	máng mù	عمياء
茫茫	máng máng	واسع
茫然	máng rán	في حيرة
冒充	mào chōng	انتحال الشخصية
冒犯	mào fàn	الإساءة
茂盛	mào shèng	تزدهر
媒介	méi jiè	متوسط
枚	méi	قطع
美观	měi guān	جميلة
美满	měi mǎn	سعيدة
美妙	měi miào	رائع
萌芽	méng yá	برعم
猛烈	měng liè	عنيف
眯	mī	الحول
弥补	mí bǔ	ميك أب
弥漫	mí màn	منتشر
谜语	mí yǔ	لغز
迷惑	mí huo	يربك
迷人	mí rén	ساحر
迷信	mí xìn	خرافة
密度	mì dù	كثافة
密封	mì fēng	عجل البحر
棉花	mián hua	قطن
免得	miǎn de	خشية أن
免疫	miǎn yì	حصانة
勉励	miǎn lì	التشجيع
勉强	miǎn qiǎng	بمعارضة
面貌	miàn mào	وجه
面子	miàn zi	وجه
描绘	miáo huì	تصف
瞄准	miáo zhǔn	هدف
渺小	miǎo xiǎo	صغير
藐视	miǎo shì	سخرية
灭亡	miè wáng	هلك
蔑视	miè shì	ازدراء
民间	mín jiān	قوم
民主	mín zhǔ	ديمقراطية
敏捷	mǐn jié	نشاط
敏锐	mǐn ruì	متحمس
名次	míng cì	تصنيف
名额	míng é	حصة نسبية
名副其实	míng fù qí shí	جدير بهذا الاسم
名誉	míng yù	سمعة
明明	míng míng	بوضوح
明智	míng zhì	حكيم
命名	mìng míng	اسم
摸索	mō suo	يتلمس طريقه
摩擦	mó cā	احتكاك
模范	mó fàn	نموذج
模式	mó shì	الوضع
模型	mó xíng	نموذج
磨合	mó hé	تشغيل
膜	mó	غشاء
魔鬼	mó guǐ	الشيطان
魔术	mó shù	سحر
抹杀	mǒ shā	طمس
墨水儿	mò shuǐ r	حبر
莫名其妙	mò míng qí miào	محير
默默	mò mò	بصمت
谋求	móu qiú	طلب
模样	mú yàng	مظهر خارجي
母语	mǔ yǔ	اللغة الأم
沐浴	mù yù	استحم
目睹	mù dǔ	الشاهد
目光	mù guāng	نظرة
拿手	ná shǒu	حسن
纳闷儿	nà mèn r	أتساءل
耐用	nài yòng	متين
南辕北辙	nán yuán běi zhé	متشعب
难得	nán dé	نادر
难堪	nán kān	أحرجت
难能可贵	nán néng kě guì	جدير بالثناء
恼火	nǎo huǒ	منزعج
内涵	nèi hán	دلالة
内幕	nèi mù	القصة الداخلية
内在	nèi zài	الداخلية
能量	néng liàng	الطاقة
拟定	nǐ dìng	ارسم
逆行	nì xíng	متراجع
年度	nián dù	عام
捏	niē	قرصة
凝固	níng gù	تصلب
凝聚	níng jù	تماسك
凝视	níng shì	تحديق
拧	níng	برغي
宁肯	nìng kěn	بدلا
宁愿	nìng yuàn	يفضلون
扭转	niǔ zhuǎn	إلتواء
纽扣儿	niǔ kòu r	أزرار
农历	nóng lì	تقويم قمري
浓厚	nóng hòu	قوي
奴隶	nú lì	عبد
挪	nuó	نقل
虐待	nvè dài	إساءة
哦	ò	يا
殴打	ōu dǎ	تغلب
偶像	ǒu xiàng	محبوب الجماهير
呕吐	ǒu tù	التقيؤ
趴	pā	راحه
徘徊	pái huái	تجول
排斥	pái chì	صد
排除	pái chú	استبعاد
排放	pái fàng	انبعاث
排练	pái liàn	تمرين
派别	pài bié	فصيل
派遣	pài qiǎn	إرسال
攀登	pān dēng	الصعود
盘旋	pán xuán	الدوران
判决	pàn jué	حكم
畔	pàn	مصرف
庞大	páng dà	ضخم
抛弃	pāo qì	تخلى
泡沫	pào mò	رغوة
培育	péi yù	تنشئة
配备	pèi bèi	مسلح
配偶	pèi ǒu	الزوج
配套	pèi tào	مطابقة
盆地	pén dì	حوض
烹饪	pēng rèn	طبخ
捧	pěng	معلق
劈	pī	الاختراق
批发	pī fā	بالجملة
批判	pī pàn	نقد
疲惫	pí bèi	أرهق
疲倦	pí juàn	متعبه
皮革	pí gé	جلد
屁股	pì gu	بعقب
譬如	pì rú	فمثلا
偏差	piān chā	الانحراف
偏见	piān jiàn	انحياز، نزعة
偏僻	piān pì	التحكم عن بعد
偏偏	piān piān	على العكس تماما
片断	piàn duàn	شظية
片刻	piàn kè	لحظة
漂浮	piāo fú	تطفو
飘扬	piāo yáng	رفرفة
撇	piē	قراءة سريعه
拼搏	pīn bó	عمل شاق
拼命	pīn mìng	فاقد الامل
贫乏	pín fá	فقير
贫困	pín kùn	فقير
频繁	pín fán	في كثير من الأحيان
频率	pín lv4	تكرر
品尝	pǐn cháng	المذاق
品德	pǐn dé	حرف
品质	pǐn zhì	جودة
品种	pǐn zhǒng	تشكيلة
屏幕	píng mù	شاشة
屏障	píng zhàng	حاجز
平凡	píng fán	عادي
平面	píng miàn	مسطحة
平坦	píng tǎn	مسطحة
平行	píng xíng	موازى
平庸	píng yōng	متوسط
平原	píng yuán	عادي
评估	píng gū	تقييم
评论	píng lùn	تعليق
坡	pō	ميل
泼	pō	دفقة
颇	pō	الى حد كبير
破例	pò lì	اعمل استثناء
迫不及待	pò bù jí dài	لا استطيع الانتظار
迫害	pò hài	اضطهاد
魄力	pò lì	شجاعة
扑	pū	رفرفة
铺	pū	متجر
普及	pǔ jí	عالمي
朴实	pǔ shí	بسيط
朴素	pǔ sù	بسيط
瀑布	pù bù	شلال
凄凉	qī liáng	مهجور
期望	qī wàng	توقع
期限	qī xiàn	المصطلح
欺负	qī fu	بلطجي
欺骗	qī piàn	يخدع
奇妙	qí miào	رائع
旗袍	qí páo	شيونغسام
旗帜	qí zhì	لافتة
歧视	qí shì	تمييز
齐全	qí quán	اكتمال
齐心协力	qí xīn xié lì	العمل معًا
乞丐	qǐ gài	شحاذ
企图	qǐ tú	محاولة
启程	qǐ chéng	انطلقت
启蒙	qǐ méng	تنوير
启事	qǐ shì	تنويه
启示	qǐ shì	تنوير
岂有此理	qǐ yǒu cǐ lǐ	غير منطقى
起草	qǐ cǎo	الصياغة
起初	qǐ chū	في البدايه
起伏	qǐ fú	الصعود والهبوط
起哄	qǐ hòng	صيحات الاستهجان
起码	qǐ mǎ	على الأقل
起源	qǐ yuán	الأصل
器材	qì cái	معدات
器官	qì guān	عضو
气概	qì gài	روح
气功	qì gōng	كيغونغ
气魄	qì pò	بالخط العريض
气色	qì sè	بشرة
气势	qì shì	قوة الدفع
气味	qì wèi	رائحة
气象	qì xiàng	الأرصاد الجوية
气压	qì yā	ضغط جوي
气质	qì zhí	طبع
迄今为止	qì jīn wéi zhǐ	حتى الآن
掐	qiā	قرصة
恰当	qià dàng	مناسب
恰到好处	qià dào hǎo chù	مجرد حق
恰巧	qià qiǎo	بالصدفة
洽谈	qià tán	تفاوض
千方百计	qiān fāng bǎi jì	افعل كل شيء ممكن
牵	qiān	قيادة
牵扯	qiān chě	تنطوي
牵制	qiān zhì	يحتوي
签署	qiān shǔ	إشارة
谦逊	qiān xùn	متواضع
迁就	qiān jiù	يستوعب
迁徙	qiān xǐ	الهجرة
前景	qián jǐng	احتمال
前提	qián tí	فرضية
潜力	qián lì	محتمل
潜水	qián shuǐ	الغوص
潜移默化	qián yí mò huà	بشكل غير محسوس
谴责	qiǎn zé	ادانة
抢劫	qiāng jié	سرقة
强制	qiáng zhì	إلزامي
强迫	qiǎng pò	فرض
抢救	qiǎng jiù	إنقاذ
桥梁	qiáo liáng	جسر
窍门	qiào mén	الخدعة
翘	qiào	أليس
切实	qiè shí	عملي
锲而不舍	qiè ér bù shě	عزيمة
亲密	qīn mì	أغلق
亲热	qīn rè	حنونة
侵犯	qīn fàn	ينتهك
侵略	qīn lvè	عدوان
钦佩	qīn pèi	إعجاب
勤俭	qín jiǎn	العمل الجاد
勤劳	qín láo	كادح
倾听	qīng tīng	استمع
倾向	qīng xiàng	نزعة
倾斜	qīng xié	إمالة
清澈	qīng chè	واضح
清晨	qīng chén	الصباح الباكر
清除	qīng chú	واضح
清洁	qīng jié	نظيف
清理	qīng lǐ	نظف
清晰	qīng xī	واضح
清醒	qīng xǐng	مستيقظ تماما
清真	qīng zhēn	مسلم
情报	qíng bào	الذكاء
情节	qíng jié	قطعة
情理	qíng lǐ	إحساس
情形	qíng xíng	موقف
晴朗	qíng lǎng	مشمس
请柬	qǐng jiǎn	رسالة دعوة
请教	qǐng jiào	شاور
请示	qǐng shì	اطلب التعليمات
请帖	qǐng tiě	رسالة دعوة
丘陵	qiū líng	التلال
区分	qū fēn	تميز
区域	qū yù	منطقة
屈服	qū fú	يخضع أو يستسلم
曲折	qū zhé	متعرج
驱逐	qū zhú	يطرد
渠道	qú dào	قناة
取缔	qǔ dì	المنع
曲子	qǔ zi	أغنية
趣味	qù wèi	المذاق
圈套	quān tào	فخ
全局	quán jú	عالمي
全力以赴	quán lì yǐ fù	اخرج كل شيء
拳头	quán tou	قبضة
权衡	quán héng	التنازل عن ميزة ممن أجل الحصول على أخرى
权威	quán wēi	السلطة
犬	quǎn	الكلب
缺口	quē kǒu	الفارق
缺席	quē xí	غياب
缺陷	quē xiàn	خلل
瘸	qué	عرجاء
确保	què bǎo	تأكد
确立	què lì	إنشاء
确切	què qiè	بالضبط
确信	què xìn	مقتنع
群众	qún zhòng	الجماهير
染	rǎn	صبغ
嚷	rǎng	يصيح، يصرخ، صيحة
让步	ràng bù	تنازل
饶恕	ráo shù	يغفر
扰乱	rǎo luàn	إزعاج
惹祸	rě huò	كارثة محكمة
热泪盈眶	rè lèi yíng kuàng	دموع في العيون
热门	rè mén	جمع
人道	rén dào	إنسانية
人格	rén gé	الشخصية
人工	rén gōng	مصطنع
人家	rén jia	اشخاص
人间	rén jiān	العالمية
人士	rén shì	شخص
人为	rén wéi	مصطنع
人性	rén xìng	الطبيعة البشرية
人质	rén zhì	رهينة
仁慈	rén cí	اللطف
忍耐	rěn nài	الصبر
忍受	rěn shòu	تحمل
任命	rèn mìng	موعد
任性	rèn xìng	متقلب
任意	rèn yì	اعتباطيا
任重道远	rèn zhòng dào yuǎn	وطريق طويل لنقطعه
认定	rèn dìng	تعرف
认可	rèn kě	معروف
仍旧	réng jiù	ما يزال
日新月异	rì xīn yuè yì	يتغير مع كل يوم يمر
日益	rì yì	بشكل متزايد
容貌	róng mào	مظهر خارجي
容纳	róng nà	يستوعب
容器	róng qì	حاوية
容忍	róng rěn	تحمل
溶解	róng jiě	تذوب
荣幸	róng xìng	بكل سرور
荣誉	róng yù	شرف
融化	róng huà	إنصهار
融洽	róng qià	علاقة
揉	róu	فرك
柔和	róu hé	ناعم
儒家	rú jiā	الكونفوشيوسية
弱点	ruò diǎn	ضعف
若干	ruò gān	العديد من
撒谎	sā huǎng	راحه
散文	sǎn wén	نثر
散布	sàn bù	الانتشار
散发	sàn fā	نشر
丧失	sàng shī	تخسر
骚扰	sāo rǎo	مضايقة
嫂子	sǎo zi	أخت الزوج أو اخت الزوجة
刹车	shā chē	الفرامل
啥	shá	ماذا
筛选	shāi xuǎn	منقي
山脉	shān mài	الجبال
闪烁	shǎn shuò	وامض
擅长	shàn cháng	جيد في
擅自	shàn zì	غير مصرح
伤脑筋	shāng nǎo jīn	مزعجة
商标	shāng biāo	علامة تجارية
上级	shàng jí	متفوق
上进	shàng jìn	تحفيز
上任	shàng rèn	تولى المنصب
上瘾	shàng yǐn	مدمن
上游	shàng yóu	المنبع
尚且	shàng qiě	ما يزال
捎	shāo	رافق
梢	shāo	تلميح
哨	shào	بريد
奢侈	shē chǐ	فخم. ترف
舌头	shé tou	لسان
摄氏度	shè shì dù	درجة مئوية
涉及	shè jí	متورط
社区	shè qū	تواصل اجتماعي
设立	shè lì	اقامة
设想	shè xiǎng	تخيل
设置	shè zhì	اقامة
呻吟	shēn yín	أنين
深奥	shēn ào	عميق
深沉	shēn chén	عميق
深情厚谊	shēn qíng hòu yì	صداقة عميقة
申报	shēn bào	تعلن
绅士	shēn shì	انسان محترم
神经	shén jīng	عصب
神奇	shén qí	سحري
神气	shén qì	الهواء
神圣	shén shèng	مقدس
神态	shén tài	سلوك
神仙	shén xiān	خالدة
审查	shěn chá	مراجعة
审理	shěn lǐ	محاكمة
审美	shěn měi	جمالية
审判	shěn pàn	محاكمة
慎重	shèn zhòng	حذر
渗透	shèn tòu	اختراق
声明	shēng míng	بيان
声势	shēng shì	قوة الدفع
声誉	shēng yù	سمعة
牲畜	shēng chù	الماشية
生存	shēng cún	ينجو
生机	shēng jī	حيوية
生理	shēng lǐ	فسيولوجي
生疏	shēng shū	صدئ
生态	shēng tài	علم البيئة
生物	shēng wù	بيولوجي
生效	shēng xiào	حيز التنفيذ
生肖	shēng xiào	الأبراج الفلكية
生锈	shēng xiù	الصدأ
生育	shēng yù	خصوبة
省会	shěng huì	عاصمة المقاطعة
盛产	shèng chǎn	غني
盛开	shèng kāi	إزهار
盛情	shèng qíng	حسن الضيافة
盛行	shèng xíng	تسود
胜负	shèng fù	الفوز أو الخسارة
失事	shī shì	حطام سفينة
失误	shī wù	خطأ
失踪	shī zōng	مفقود
尸体	shī tǐ	جثة
师范	shī fàn	مدرس
施加	shī jiā	فرض
施展	shī zhǎn	عرض
十足	shí zú	ممتلئ
实惠	shí huì	بأسعار معقولة، ميسور، متناول اليد
实力	shí lì	قوة
实施	shí shī	نفذ
实事求是	shí shì qiú shì	ابحث عن الحقيقة من الحقائق
实行	shí xíng	نفذ
实质	shí zhì	مستوى
拾	shí	امسك
时常	shí cháng	غالبا
时而	shí ér	بعض الأحيان
时光	shí guāng	زمن
时机	shí jī	فرصة
时事	shí shì	الاحداث الحالية
石油	shí yóu	نفط
识别	shí bié	تحديد
使命	shǐ mìng	مهمة
世代	shì dài	أجيال
事故	shì gù	حادث
事迹	shì jì	الأفعال
事件	shì jiàn	حدث
事态	shì tài	موقف
事务	shì wù	أمور
事项	shì xiàng	شيء
事业	shì yè	سبب
势必	shì bì	ملزمة
势力	shì li	قوة
是非	shì fēi	صح ام خطأ
示范	shì fàn	برهنة
示威	shì wēi	برهنة
示意	shì yì	الإشارة
视力	shì lì	رؤية
视频	shì pín	فيديو
视线	shì xiàn	مشهد
视野	shì yě	رؤية
试图	shì tú	محاولة
试验	shì yàn	اختبار
适宜	shì yí	متكافئ
逝世	shì shì	ابتعد عن الطريق
释放	shì fàng	حرر
收藏	shōu cáng	المفضلة
收缩	shōu suō	إنكمش
收益	shōu yì	الإيرادات
收音机	shōu yīn jī	مذياع
守护	shǒu hù	حارس
手法	shǒu fǎ	تقنية
手势	shǒu shì	لفتة
手艺	shǒu yì	حرفة
首饰	shǒu shì	مجوهرات
首要	shǒu yào	ابتدائي
受罪	shòu zuì	تعاني
授予	shòu yǔ	منحة
书法	shū fǎ	فن الخط
书记	shū ji	سكرتير
书籍	shū jí	الكتب
书面	shū miàn	مكتوب
疏忽	shū hu	إهمال
疏远	shū yuǎn	ينفر
舒畅	shū chàng	مريح
数额	shù é	كمية
束	shù	حزمة
束缚	shù fù	عبودية
树立	shù lì	اقامة
竖	shù	عمودي
耍	shuǎ	لعب
衰老	shuāi lǎo	شيخوخة
衰退	shuāi tuì	انخفاض
率领	shuài lǐng	قيادة
涮火锅	shuàn huǒ guō	شابو شابو
双胞胎	shuāng bāo tāi	التوأم
爽快	shuǎng kuài	بسهولة
水利	shuǐ lì	الحفاظ على المياه
水龙头	shuǐ lóng tóu	صنبور
水泥	shuǐ ní	يبني
瞬间	shùn jiān	لحظة
司法	sī fǎ	قضائي
司令	sī lìng	القائد
思念	sī niàn	يغيب
思索	sī suǒ	التفكير
思维	sī wéi	التفكير
斯文	sī wen	لطيف
私自	sī zì	سرا
死亡	sǐ wáng	الموت
四肢	sì zhī	الأطراف
寺庙	sì miào	معبد
肆无忌惮	sì wú jì dàn	عديم الضمير
饲养	sì yǎng	تربية
耸	sǒng	شاهق
艘	sōu	سفينة
苏醒	sū xǐng	استيقظ
俗话	sú huà	عامية
塑造	sù zào	شكل
素食	sù shí	طعام نباتي
素质	sù zhì	جودة
诉讼	sù sòng	دعوى
算数	suàn shù	العد
随即	suí jí	فورا
随意	suí yì	عشوائي
岁月	suì yuè	سنوات
隧道	suì dào	نفق
损坏	sǔn huài	ضرر
索取	suǒ qǔ	طلب
索性	suǒ xìng	ببساطة
塌	tā	انهيار
踏实	tā shi	ثابت
塔	tǎ	برج
台风	tái fēng	اعصار
太空	tài kōng	الفراغ
泰斗	tài dǒu	عميد
摊	tān	المماطلة
瘫痪	tān huàn	شلل
贪婪	tān lán	جشع
贪污	tān wū	الفساد
弹性	tán xìng	مرونة
坦白	tǎn bái	صريح
叹气	tàn qì	تنهد
探测	tàn cè	الكشف
探索	tàn suǒ	يكتشف
